name,alpha-3,numeric
Lebanon,LBN,422
Liberia,LBR,430
Libya,LBY,434
Saint Lucia,LCA,662
Liechtenstein,LIE,438
Sri Lanka,LKA,144
Lesotho,LSO,426
Lithuania,LTU,440
Luxembourg,LUX,442
Latvia,LVA,428
"China, Macao Special Administrative Region",MAC,446
Saint Martin (French Part),MAF,663
Morocco,MAR,504
Monaco,MCO,492
Republic of Moldova,MDA,498
Madagascar,MDG,450
Maldives,MDV,462
Mexico,MEX,484
Marshall Islands,MHL,584
Macedonia,MKD,807
Mali,MLI,466
Malta,MLT,470
Myanmar,MMR,104
Montenegro,MNE,499
Mongolia,MNG,496
Northern Mariana Islands,MNP,580
Mozambique,MOZ,508
Mauritania,MRT,478
Montserrat,MSR,500
Martinique,MTQ,474
Mauritius,MUS,480
Malawi,MWI,454
Malaysia,MYS,458
Mayotte,MYT,175
Namibia,NAM,516
New Caledonia,NCL,540
Niger,NER,562
Norfolk Island,NFK,574
Nigeria,NGA,566
Nicaragua,NIC,558
Niue,NIU,570
Netherlands,NLD,528
Norway,NOR,578
Nepal,NPL,524
Nauru,NRU,520
New Zealand,NZL,554
Oman,OMN,512
Pakistan,PAK,586
Panama,PAN,591
Pitcairn,PCN,612
Peru,PER,604
Philippines,PHL,608
Palau,PLW,585
Papua New Guinea,PNG,598
Poland,POL,616
Puerto Rico,PRI,630
North Korea,PRK,408
Portugal,PRT,620
Paraguay,PRY,600
Palestine,PSE,275
French Polynesia,PYF,258
Qatar,QAT,634
R�union,REU,638
Romania,ROU,642
Russia,RUS,643
Rwanda,RWA,646
Saudi Arabia,SAU,682
Sudan,SDN,729
Senegal,SEN,686
Singapore,SGP,702
South Georgia and the South Sandwich Islands,SGS,239
Saint Helena,SHN,654
Svalbard and Jan Mayen Islands,SJM,744
Solomon Islands,SLB,90
Sierra Leone,SLE,694
El Salvador,SLV,222
San Marino,SMR,674
Somalia,SOM,706
Saint Pierre and Miquelon,SPM,666
Serbia,SRB,688
South Sudan,SSD,728
Sao Tome and Principe,STP,678
Suriname,SUR,740
Slovakia,SVK,703
Slovenia,SVN,705
Sweden,SWE,752
Swaziland,SWZ,748
Sint Maarten (Dutch part),SXM,534
Seychelles,SYC,690
Syria,SYR,760
Turks and Caicos Islands,TCA,796
Chad,TCD,148
Togo,TGO,768
Thailand,THA,764
Tajikistan,TJK,762
Tokelau,TKL,772
Turkmenistan,TKM,795
Timor-Leste,TLS,626
Tonga,TON,776
Trinidad and Tobago,TTO,780
Tunisia,TUN,788
Turkey,TUR,792
Tuvalu,TUV,798
Taiwan,TWN,158
United Republic of Tanzania,TZA,834
Uganda,UGA,800
Ukraine,UKR,804
United States Minor Outlying Islands,UMI,581
Uruguay,URY,858
United States of America,USA,840
Uzbekistan,UZB,860
Holy See,VAT,336
Saint Vincent and the Grenadines,VCT,670
Venezuela,VEN,862
British Virgin Islands,VGB,92
United States Virgin Islands,VIR,850
Vietnam,VNM,704
Vanuatu,VUT,548
Wallis and Futuna Islands,WLF,876
Samoa,WSM,882
Yemen,YEM,887
South Africa,ZAF,710
Zambia,ZMB,894
Zimbabwe,ZWE,716
Sark,,
