Greece,GRC,100
Grenada,GRD,96.6
Greenland,GRL,100
Guatemala,GTM,92.8
Guam,GUM,99.5
Guyana,GUY,98.3
High income,HIC,99.53558768
"Hong Kong SAR, China",HKG,
Honduras,HND,91.2
Heavily indebted poor countries (HIPC),HPC,65.95038796
Croatia,HRV,99.6
Haiti,HTI,57.7
Hungary,HUN,100
IBRD only,IBD,94.36281991
IDA & IBRD total,IBT,89.45639461
IDA total,IDA,73.49674003
IDA blend,IDB,77.45626282
Indonesia,IDN,87.4
IDA only,IDX,71.50157736
Isle of Man,IMN,
India,IND,94.1
Not classified,INX,
Ireland,IRL,97.9
"Iran, Islamic Rep.",IRN,96.2
Iraq,IRQ,86.6
Iceland,ISL,100
Israel,ISR,100
Italy,ITA,100
Jamaica,JAM,93.8
Jordan,JOR,96.9
Japan,JPN,100
Kazakhstan,KAZ,92.9
Kenya,KEN,63.2
Kyrgyz Republic,KGZ,90
Cambodia,KHM,75.5
Kiribati,KIR,66.9
St. Kitts and Nevis,KNA,98.3
"Korea, Rep.",KOR,
Kuwait,KWT,99
Latin America & Caribbean (excluding high income),LAC,94.46217803
Lao PDR,LAO,75.7
Lebanon,LBN,99
Liberia,LBR,75.6
Libya,LBY,
St. Lucia,LCA,96.3
Latin America & Caribbean,LCN,94.62820993
Least developed countries: UN classification,LDC,69.06967335
Low income,LIC,65.6380342
Liechtenstein,LIE,
Sri Lanka,LKA,95.6
Lower middle income,LMC,89.18512746
Low & middle income,LMY,89.39588359
Lesotho,LSO,81.8
Late-demographic dividend,LTE,95.92829882
Lithuania,LTU,96.6
Luxembourg,LUX,100
Latvia,LVA,99.3
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,85.4
Monaco,MCO,100
Moldova,MDA,88.4
Madagascar,MDG,51.5
Maldives,MDV,98.6
Middle East & North Africa,MEA,93.50021867
Mexico,MEX,96.1
Marshall Islands,MHL,94.6
Middle income,MIC,92.14847492
"Macedonia, FYR",MKD,99.4
Mali,MLI,77
Malta,MLT,100
Myanmar,MMR,80.6
Middle East & North Africa (excluding high income),MNA,92.6930662
Montenegro,MNE,99.7
Mongolia,MNG,64.4
Northern Mariana Islands,MNP,97.5
Mozambique,MOZ,51.1
Mauritania,MRT,57.9
Mauritius,MUS,99.9
Malawi,MWI,90.2
Malaysia,MYS,98.2
North America,NAC,99.26029279
Namibia,NAM,91
New Caledonia,NCL,98.5
Niger,NER,58.2
Nigeria,NGA,68.5
Nicaragua,NIC,87
Netherlands,NLD,100
Norway,NOR,100
Nepal,NPL,91.6
Nauru,NRU,96.5
New Zealand,NZL,100
OECD members,OED,99.30918888
Oman,OMN,93.4
Other small states,OSS,89.86968065
Pakistan,PAK,91.4
Panama,PAN,94.7
Peru,PER,86.7
Philippines,PHL,91.8
Palau,PLW,
Papua New Guinea,PNG,40
Poland,POL,98.3
Pre-demographic dividend,PRE,66.03667222
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,99.7
Portugal,PRT,100
Paraguay,PRY,98
West Bank and Gaza,PSE,58.4
Pacific island small states,PSS,90.57518316
Post-demographic dividend,PST,99.50482044
French Polynesia,PYF,100
Qatar,QAT,100
Romania,ROU,100
Russian Federation,RUS,96.9
Rwanda,RWA,76.1
South Asia,SAS,92.37160263
Saudi Arabia,SAU,97
Sudan,SDN,
Senegal,SEN,78.5
Singapore,SGP,100
Solomon Islands,SLB,80.8
Sierra Leone,SLE,62.6
El Salvador,SLV,93.8
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,99.2
Sub-Saharan Africa (excluding high income),SSA,67.5421677
South Sudan,SSD,58.7
Sub-Saharan Africa,SSF,67.54492786
Small states,SST,90.97669746
Sao Tome and Principe,STP,97.1
Suriname,SUR,94.8
Slovak Republic,SVK,100
Slovenia,SVN,99.5
Sweden,SWE,100
Swaziland,SWZ,74.1
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,95.7
Syrian Arab Republic,SYR,90.1
Turks and Caicos Islands,TCA,
Chad,TCD,50.8
East Asia & Pacific (IDA & IBRD countries),TEA,93.59569201
Europe & Central Asia (IDA & IBRD countries),TEC,96.89098439
Togo,TGO,63.1
Thailand,THA,97.8
Tajikistan,TJK,73.8
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,94.61666101
Timor-Leste,TLS,71.9
Middle East & North Africa (IDA & IBRD countries),TMN,93.15278089
Tonga,TON,99.6
South Asia (IDA & IBRD),TSA,92.37160263
Sub-Saharan Africa (IDA & IBRD countries),TSS,67.54492786
Trinidad and Tobago,TTO,95.1
Tunisia,TUN,97.7
Turkey,TUR,100
Tuvalu,TUV,97.7
Tanzania,TZA,55.6
Uganda,UGA,79
Ukraine,UKR,96.2
Upper middle income,UMC,95.48718224
Uruguay,URY,99.7
United States,USA,99.2
Uzbekistan,UZB,
St. Vincent and the Grenadines,VCT,95.1
"Venezuela, RB",VEN,93.1
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,100
Vietnam,VNM,97.6
Vanuatu,VUT,94.5
World,WLD,90.95135518
Samoa,WSM,99
Kosovo,XKX,
"Yemen, Rep.",YEM,
South Africa,ZAF,93.2
Zambia,ZMB,65.4
Zimbabwe,ZWE,76.9
